apartment_id,tower_id,block_name,floor_number,unit_number,apartment_type,square_feet,occupancy_status,purchase_year,dataset_version
t01-f01-u01,t01,a,1.0,1,3bhk,1314.0,occupied,2000.0,v1.0.0
t01-f01-u02,t01,a,1.0,2,1bhk,1481.0,vacant,2007.0,v1.0.0
t01-f01-u03,t01,a,1.0,3,2bhk,814.0,occupied,2004.0,v1.0.0
t01-f01-u04,t01,a,1.0,4,1bhk,1077.0,vacant,2003.0,v1.0.0
t01-f01-u05,t01,a,1.0,5,2bhk,1046.0,vacant,2023.0,v1.0.0
t01-f01-u06,t01,a,1.0,6,1bhk,679.0,vacant,2002.0,v1.0.0
t01-f01-u07,t01,a,1.0,7,1bhk,616.0,occupied,2001.0,v1.0.0
t01-f01-u08,t01,a,1.0,8,1bhk,415.0,vacant,2011.0,v1.0.0
t01-f02-u01,t01,a,2.0,1,3bhk,1423.0,occupied,2007.0,v1.0.0
t01-f02-u02,t01,a,2.0,2,3bhk,1717.0,occupied,2019.0,v1.0.0
t01-f02-u03,t01,a,2.0,3,2bhk,713.0,occupied,2017.0,v1.0.0
t01-f02-u04,t01,a,2.0,4,2bhk,801.0,occupied,2022.0,v1.0.0
t01-f02-u05,t01,a,2.0,5,2bhk,1032.0,occupied,2022.0,v1.0.0
t01-f02-u06,t01,a,2.0,6,1bhk,679.0,occupied,2013.0,v1.0.0
t01-f02-u07,t01,a,2.0,7,1bhk,512.0,occupied,2014.0,v1.0.0
t01-f02-u08,t01,a,2.0,8,1bhk,542.0,occupied,2000.0,v1.0.0
t01-f03-u01,t01,a,3.0,1,3bhk,1363.0,occupied,2022.0,v1.0.0
t01-f03-u02,t01,a,3.0,2,3bhk,1632.0,occupied,2010.0,v1.0.0
t01-f03-u03,t01,a,3.0,3,1bhk,842.0,occupied,2004.0,v1.0.0
t01-f03-u04,t01,a,3.0,4,2bhk,810.0,occupied,2010.0,v1.0.0
t01-f03-u05,t01,a,3.0,5,2bhk,752.0,occupied,2002.0,v1.0.0
t01-f03-u06,t01,a,3.0,6,1bhk,594.0,occupied,2003.0,v1.0.0
t01-f03-u07,t01,a,3.0,7,1bhk,583.0,occupied,2011.0,v1.0.0
t01-f03-u08,t01,a,3.0,8,1bhk,879.0,occupied,2001.0,v1.0.0
t01-f04-u01,t01,a,11.0,1,3bhk,1670.0,occupied,2017.0,v1.0.0
t01-f04-u02,t01,a,4.0,2,3bhk,1327.0,vacant,2012.0,v1.0.0
t01-f04-u03,t01,a,4.0,3,2bhk,740.0,vacant,2017.0,v1.0.0
t01-f04-u04,t01,a,4.0,4,2bhk,850.0,vacant,2020.0,v1.0.0
t01-f04-u05,t01,a,4.0,5,2bhk,1016.0,vacant,2011.0,v1.0.0
t01-f04-u06,t01,a,4.0,6,1bhk,879.0,vacant,2006.0,v1.0.0
t01-f04-u07,t01,a,4.0,7,1bhk,435.0,vacant,2001.0,v1.0.0
t01-f04-u08,t01,a,4.0,8,1bhk,516.0,occupied,2009.0,v1.0.0
t01-f05-u01,t01,a,5.0,1,3bhk,1281.0,occupied,2007.0,v1.0.0
t01-f05-u02,t01,a,5.0,2,1bhk,1303.0,occupied,2012.0,v1.0.0
t01-f05-u03,t01,a,5.0,3,2bhk,842.0,occupied,2014.0,v1.0.0
t01-f05-u04,t01,a,5.0,4,2bhk,1025.0,occupied,2011.0,v1.0.0
t01-f05-u05,t01,a,5.0,5,2bhk,783.0,vacant,2011.0,v1.0.0
t01-f05-u06,t01,a,5.0,6,1bhk,581.0,vacant,2006.0,v1.0.0
t01-f05-u07,t01,a,5.0,7,1bhk,879.0,occupied,2022.0,v1.0.0
t01-f05-u08,t01,a,5.0,8,1bhk,436.0,occupied,2019.0,v1.0.0
t01-f06-u01,t01,a,6.0,1,3bhk,1375.0,occupied,2017.0,v1.0.0
t01-f06-u02,t01,a,6.0,2,3bhk,1450.0,occupied,2005.0,v1.0.0
t01-f06-u03,t01,a,6.0,3,2bhk,936.0,occupied,2012.0,v1.0.0
t01-f06-u04,t01,a,6.0,4,2bhk,838.0,occupied,2020.0,v1.0.0
t01-f06-u05,t01,a,6.0,5,2bhk,1052.0,occupied,2017.0,v1.0.0
t01-f06-u06,t01,a,6.0,6,1bhk,512.0,occupied,2021.0,v1.0.0
t01-f06-u07,t01,a,6.0,7,1bhk,566.0,vacant,2011.0,v1.0.0
t01-f06-u08,t01,a,6.0,8,1bhk,517.0,occupied,2001.0,v1.0.0
t01-f07-u01,t01,a,7.0,1,3bhk,1523.0,occupied,2012.0,v1.0.0
t01-f07-u02,t01,a,7.0,2,3bhk,1474.0,vacant,2002.0,v1.0.0
t01-f07-u03,t01,a,7.0,3,2bhk,808.0,occupied,2018.0,v1.0.0
t01-f07-u04,t01,a,7.0,4,2bhk,1148.0,occupied,2022.0,v1.0.0
t01-f07-u05,t01,a,7.0,5,2bhk,861.0,occupied,2006.0,v1.0.0
t01-f07-u06,t01,a,7.0,6,1bhk,655.0,occupied,2012.0,v1.0.0
t01-f07-u07,t01,a,7.0,7,1bhk,634.0,occupied,2004.0,v1.0.0
t01-f07-u08,t01,a,11.0,8,1bhk,535.0,occupied,2004.0,v1.0.0
t01-f08-u01,t01,a,8.0,1,3bhk,1452.0,occupied,2023.0,v1.0.0
t01-f08-u02,t01,a,8.0,2,3bhk,1774.0,occupied,2017.0,v1.0.0
t01-f08-u03,t01,a,8.0,3,2bhk,834.0,occupied,2023.0,v1.0.0
t01-f08-u04,t01,a,8.0,4,2bhk,999.0,occupied,2013.0,v1.0.0
t01-f08-u05,t01,a,8.0,5,2bhk,1159.0,occupied,2018.0,v1.0.0
t01-f08-u06,t01,a,8.0,6,1bhk,604.0,occupied,2011.0,v1.0.0
t01-f08-u07,t01,a,8.0,7,1bhk,512.0,occupied,2004.0,v1.0.0
t01-f08-u08,t01,a,8.0,8,1bhk,660.0,occupied,2015.0,v1.0.0
t01-f09-u01,t01,a,9.0,1,3bhk,1293.0,occupied,2001.0,v1.0.0
t01-f09-u02,t01,a,9.0,2,3bhk,1312.0,vacant,2004.0,v1.0.0
t01-f09-u03,t01,a,9.0,3,2bhk,879.0,occupied,2005.0,v1.0.0
t01-f09-u04,t01,a,9.0,4,2bhk,1105.0,occupied,2021.0,v1.0.0
t01-f09-u05,t01,a,9.0,5,2bhk,916.0,occupied,2019.0,v1.0.0
t01-f09-u06,t01,a,11.0,6,1bhk,432.0,occupied,2012.0,v1.0.0
t01-f09-u07,t01,a,9.0,7,1bhk,595.0,occupied,2019.0,v1.0.0
t01-f09-u08,t01,a,9.0,8,1bhk,639.0,occupied,2016.0,v1.0.0
t01-f10-u01,t01,a,10.0,1,3bhk,1457.0,occupied,2017.0,v1.0.0
t01-f10-u02,t01,a,10.0,2,3bhk,1211.0,occupied,2021.0,v1.0.0
t01-f10-u03,t01,a,10.0,3,2bhk,1069.0,occupied,2003.0,v1.0.0
t01-f10-u04,t01,a,10.0,4,2bhk,1049.0,occupied,2011.0,v1.0.0
t01-f10-u05,t01,a,10.0,5,2bhk,1084.0,occupied,2008.0,v1.0.0
t01-f10-u06,t01,a,10.0,6,1bhk,574.0,occupied,2003.0,v1.0.0
t01-f10-u07,t01,a,10.0,7,1bhk,550.0,occupied,2013.0,v1.0.0
t01-f10-u08,t01,a,10.0,8,1bhk,480.0,occupied,2014.0,v1.0.0
t01-f11-u01,t01,a,11.0,1,3bhk,1203.0,occupied,2023.0,v1.0.0
t01-f11-u02,t01,a,11.0,2,3bhk,1469.0,occupied,2016.0,v1.0.0
t01-f11-u03,t01,a,11.0,3,2bhk,1090.0,occupied,2005.0,v1.0.0
t01-f11-u04,t01,a,11.0,4,2bhk,959.0,occupied,2003.0,v1.0.0
t01-f11-u05,t01,a,11.0,5,2bhk,1145.0,occupied,2020.0,v1.0.0
t01-f11-u06,t01,a,11.0,6,1bhk,552.0,occupied,2020.0,v1.0.0
t01-f11-u07,t01,a,11.0,7,1bhk,659.0,occupied,2019.0,v1.0.0
t01-f11-u08,t01,a,11.0,8,1bhk,501.0,occupied,2004.0,v1.0.0
t01-f12-u01,t01,a,12.0,1,3bhk,1582.0,occupied,2005.0,v1.0.0
t01-f12-u02,t01,a,12.0,2,3bhk,1752.0,occupied,2016.0,v1.0.0
t01-f12-u03,t01,a,12.0,3,2bhk,1170.0,vacant,2000.0,v1.0.0
t01-f12-u04,t01,a,12.0,4,2bhk,1006.0,occupied,2010.0,v1.0.0
t01-f12-u05,t01,a,12.0,5,2bhk,950.0,occupied,2000.0,v1.0.0
t01-f12-u06,t01,a,12.0,6,1bhk,457.0,occupied,2011.0,v1.0.0
t01-f12-u07,t01,a,12.0,7,1bhk,557.0,occupied,2007.0,v1.0.0
t01-f12-u08,t01,a,12.0,8,1bhk,429.0,occupied,2007.0,v1.0.0
t01-f13-u01,t01,a,13.0,1,3bhk,1780.0,occupied,2002.0,v1.0.0
t01-f13-u02,t01,a,13.0,2,3bhk,1287.0,occupied,2023.0,v1.0.0
t01-f13-u03,t01,a,13.0,3,2bhk,948.0,occupied,2002.0,v1.0.0
t01-f13-u04,t01,a,13.0,4,2bhk,1200.0,occupied,2017.0,v1.0.0
t01-f13-u05,t01,a,13.0,5,2bhk,1092.0,vacant,2004.0,v1.0.0
t01-f13-u06,t01,a,13.0,6,1bhk,465.0,occupied,2021.0,v1.0.0
t01-f13-u07,t01,a,11.0,7,1bhk,643.0,vacant,2017.0,v1.0.0
t01-f13-u08,t01,a,13.0,8,1bhk,484.0,occupied,2008.0,v1.0.0
t01-f14-u01,t01,a,14.0,1,3bhk,1740.0,vacant,2019.0,v1.0.0
t01-f14-u02,t01,a,14.0,2,3bhk,1633.0,occupied,2006.0,v1.0.0
t01-f14-u03,t01,a,14.0,3,1bhk,1175.0,occupied,2017.0,v1.0.0
t01-f14-u04,t01,a,14.0,4,2bhk,1086.0,vacant,2023.0,v1.0.0
t01-f14-u05,t01,a,14.0,5,2bhk,1053.0,occupied,2006.0,v1.0.0
t01-f14-u06,t01,a,14.0,6,1bhk,559.0,occupied,2012.0,v1.0.0
t01-f14-u07,t01,a,14.0,7,1bhk,591.0,occupied,2014.0,v1.0.0
t01-f14-u08,t01,a,14.0,8,1bhk,664.0,occupied,2014.0,v1.0.0
t01-f15-u01,t01,a,15.0,1,3bhk,1323.0,vacant,2007.0,v1.0.0
t01-f15-u02,t01,a,15.0,2,3bhk,1430.0,occupied,2002.0,v1.0.0
t01-f15-u03,t01,a,15.0,3,2bhk,873.0,occupied,2000.0,v1.0.0
t01-f15-u04,t01,a,15.0,4,2bhk,1001.0,occupied,2017.0,v1.0.0
t01-f15-u05,t01,a,15.0,5,2bhk,817.0,occupied,2018.0,v1.0.0
t01-f15-u06,t01,a,15.0,6,1bhk,512.0,occupied,2000.0,v1.0.0
t01-f15-u07,t01,a,15.0,7,1bhk,436.0,occupied,2022.0,v1.0.0
t01-f15-u08,t01,a,15.0,8,1bhk,430.0,vacant,2007.0,v1.0.0
t01-f16-u01,t01,a,16.0,1,3bhk,1269.0,occupied,2001.0,v1.0.0
t01-f16-u02,t01,a,16.0,2,3bhk,1538.0,vacant,2002.0,v1.0.0
t01-f16-u03,t01,a,16.0,3,2bhk,963.0,occupied,2007.0,v1.0.0
t01-f16-u04,t01,a,16.0,4,2bhk,842.0,occupied,2021.0,v1.0.0
t01-f16-u05,t01,a,16.0,5,2bhk,948.0,occupied,2006.0,v1.0.0
t01-f16-u06,t01,a,16.0,6,1bhk,676.0,occupied,2004.0,v1.0.0
t01-f16-u07,t01,a,16.0,7,1bhk,692.0,occupied,2018.0,v1.0.0
t01-f16-u08,t01,a,16.0,8,1bhk,642.0,vacant,2007.0,v1.0.0
t01-f17-u01,t01,a,17.0,1,3bhk,1684.0,occupied,2013.0,v1.0.0
t01-f17-u02,t01,a,17.0,2,3bhk,1394.0,occupied,2003.0,v1.0.0
t01-f17-u03,t01,a,17.0,3,2bhk,749.0,occupied,2021.0,v1.0.0
t01-f17-u04,t01,a,17.0,4,1bhk,920.0,occupied,2011.0,v1.0.0
t01-f17-u05,t01,a,17.0,5,2bhk,916.0,occupied,2013.0,v1.0.0
t01-f17-u06,t01,a,17.0,6,1bhk,639.0,occupied,2023.0,v1.0.0
t01-f17-u07,t01,a,17.0,7,1bhk,427.0,occupied,2021.0,v1.0.0
t01-f17-u08,t01,a,17.0,8,1bhk,450.0,occupied,2001.0,v1.0.0
t01-f18-u01,t01,a,18.0,1,3bhk,1612.0,occupied,2023.0,v1.0.0
t01-f18-u02,t01,a,18.0,2,3bhk,1547.0,occupied,2003.0,v1.0.0
t01-f18-u03,t01,a,18.0,3,2bhk,827.0,occupied,2006.0,v1.0.0
t01-f18-u04,t01,a,18.0,4,2bhk,797.0,vacant,2017.0,v1.0.0
t01-f18-u05,t01,a,18.0,5,2bhk,929.0,occupied,2004.0,v1.0.0
t01-f18-u06,t01,a,18.0,6,1bhk,616.0,occupied,2005.0,v1.0.0
t01-f18-u07,t01,a,18.0,7,1bhk,542.0,occupied,2014.0,v1.0.0
t01-f18-u08,t01,a,18.0,8,1bhk,527.0,occupied,2002.0,v1.0.0
t01-f19-u01,t01,a,19.0,1,3bhk,1653.0,occupied,2017.0,v1.0.0
t01-f19-u02,t01,a,19.0,2,3bhk,1300.0,vacant,2001.0,v1.0.0
t01-f19-u03,t01,a,19.0,3,2bhk,1033.0,occupied,2017.0,v1.0.0
t01-f19-u04,t01,a,19.0,4,2bhk,1128.0,occupied,2000.0,v1.0.0
t01-f19-u05,t01,a,19.0,5,2bhk,1196.0,occupied,2002.0,v1.0.0
t01-f19-u06,t01,a,19.0,6,1bhk,521.0,occupied,2005.0,v1.0.0
t01-f19-u07,t01,a,19.0,7,1bhk,608.0,occupied,2015.0,v1.0.0
t01-f19-u08,t01,a,19.0,8,1bhk,646.0,occupied,2006.0,v1.0.0
t01-f20-u01,t01,a,20.0,1,penthouse,1968.0,vacant,2001.0,v1.0.0
t01-f20-u02,t01,a,20.0,2,penthouse,1968.0,occupied,2012.0,v1.0.0
t01-f20-u03,t01,a,20.0,3,2bhk,879.0,occupied,2012.0,v1.0.0
t01-f20-u04,t01,a,20.0,4,2bhk,835.0,occupied,2014.0,v1.0.0
t01-f20-u05,t01,a,20.0,5,2bhk,846.0,occupied,2013.0,v1.0.0
t01-f20-u06,t01,a,20.0,6,1bhk,684.0,occupied,2021.0,v1.0.0
t01-f20-u07,t01,a,20.0,7,1bhk,649.0,occupied,2004.0,v1.0.0
t01-f20-u08,t01,a,20.0,8,1bhk,497.0,occupied,2009.0,v1.0.0
t02-f01-u01,t02,b,1.0,1,3bhk,1422.0,occupied,2001.0,v1.0.0
t02-f01-u02,t02,b,1.0,2,3bhk,1793.0,occupied,2023.0,v1.0.0
t02-f01-u03,t02,b,1.0,3,2bhk,977.0,occupied,2001.0,v1.0.0
t02-f01-u04,t02,b,1.0,4,1bhk,1082.0,occupied,2010.0,v1.0.0
t02-f01-u05,t02,b,1.0,5,2bhk,729.0,occupied,2001.0,v1.0.0
t02-f01-u06,t02,b,1.0,6,1bhk,699.0,vacant,2015.0,v1.0.0
t02-f01-u07,t02,b,1.0,7,1bhk,657.0,occupied,2016.0,v1.0.0
t02-f01-u08,t02,b,1.0,8,1bhk,480.0,occupied,2001.0,v1.0.0
t02-f02-u01,t02,b,2.0,1,3bhk,1720.0,occupied,2002.0,v1.0.0
t02-f02-u02,t02,b,2.0,2,3bhk,1390.0,vacant,2002.0,v1.0.0
t02-f02-u03,t02,b,2.0,3,2bhk,1004.0,occupied,2002.0,v1.0.0
t02-f02-u04,t02,b,2.0,4,2bhk,1045.0,occupied,2007.0,v1.0.0
t02-f02-u05,t02,b,11.0,5,2bhk,906.0,occupied,2003.0,v1.0.0
t02-f02-u06,t02,b,2.0,6,1bhk,691.0,occupied,2007.0,v1.0.0
t02-f02-u07,t02,b,2.0,7,1bhk,696.0,occupied,2019.0,v1.0.0
t02-f02-u08,t02,b,2.0,8,1bhk,420.0,occupied,2019.0,v1.0.0
t02-f03-u01,t02,b,3.0,1,3bhk,1283.0,vacant,2013.0,v1.0.0
t02-f03-u02,t02,b,3.0,2,3bhk,1797.0,occupied,2018.0,v1.0.0
t02-f03-u03,t02,b,3.0,3,2bhk,967.0,vacant,2010.0,v1.0.0
t02-f03-u04,t02,b,3.0,4,2bhk,1178.0,occupied,2008.0,v1.0.0
t02-f03-u05,t02,b,3.0,5,2bhk,804.0,occupied,2021.0,v1.0.0
t02-f03-u06,t02,b,3.0,6,1bhk,560.0,occupied,2011.0,v1.0.0
t02-f03-u07,t02,b,3.0,7,1bhk,535.0,occupied,2012.0,v1.0.0
t02-f03-u08,t02,b,3.0,8,1bhk,467.0,occupied,2021.0,v1.0.0
t02-f04-u01,t02,b,4.0,1,3bhk,1507.0,occupied,2014.0,v1.0.0
t02-f04-u02,t02,b,4.0,2,3bhk,1523.0,occupied,2002.0,v1.0.0
t02-f04-u03,t02,b,4.0,3,2bhk,704.0,occupied,2014.0,v1.0.0
t02-f04-u04,t02,b,4.0,4,2bhk,1018.0,occupied,2018.0,v1.0.0
t02-f04-u05,t02,b,4.0,5,2bhk,751.0,occupied,2002.0,v1.0.0
t02-f04-u06,t02,b,4.0,6,1bhk,675.0,occupied,2006.0,v1.0.0
t02-f04-u07,t02,b,4.0,7,1bhk,659.0,occupied,2008.0,v1.0.0
t02-f04-u08,t02,b,4.0,8,1bhk,467.0,occupied,2011.0,v1.0.0
t02-f05-u01,t02,b,5.0,1,3bhk,1270.0,occupied,2007.0,v1.0.0
t02-f05-u02,t02,b,5.0,2,3bhk,879.0,vacant,2009.0,v1.0.0
t02-f05-u03,t02,b,5.0,3,1bhk,780.0,occupied,2014.0,v1.0.0
t02-f05-u04,t02,b,5.0,4,2bhk,1126.0,occupied,2017.0,v1.0.0
t02-f05-u05,t02,b,5.0,5,2bhk,1060.0,occupied,2009.0,v1.0.0
t02-f05-u06,t02,b,5.0,6,1bhk,670.0,occupied,2000.0,v1.0.0
t02-f05-u07,t02,b,5.0,7,1bhk,683.0,occupied,2009.0,v1.0.0
t02-f05-u08,t02,b,5.0,8,1bhk,453.0,occupied,2004.0,v1.0.0
t02-f06-u01,t02,b,6.0,1,3bhk,1470.0,occupied,2003.0,v1.0.0
t02-f06-u02,t02,b,6.0,2,3bhk,1309.0,occupied,2023.0,v1.0.0
t02-f06-u03,t02,b,6.0,3,2bhk,983.0,occupied,2004.0,v1.0.0
t02-f06-u04,t02,b,6.0,4,2bhk,839.0,occupied,2009.0,v1.0.0
t02-f06-u05,t02,b,11.0,5,2bhk,1009.0,occupied,2006.0,v1.0.0
t02-f06-u06,t02,b,6.0,6,1bhk,575.0,occupied,2006.0,v1.0.0
t02-f06-u07,t02,b,6.0,7,1bhk,535.0,occupied,2016.0,v1.0.0
t02-f06-u08,t02,b,6.0,8,1bhk,650.0,vacant,2008.0,v1.0.0
t02-f07-u01,t02,b,7.0,1,3bhk,1252.0,occupied,2002.0,v1.0.0
t02-f07-u02,t02,b,11.0,2,3bhk,1633.0,occupied,2008.0,v1.0.0
t02-f07-u03,t02,b,7.0,3,2bhk,722.0,occupied,2000.0,v1.0.0
t02-f07-u04,t02,b,7.0,4,2bhk,870.0,occupied,2004.0,v1.0.0
t02-f07-u05,t02,b,7.0,5,2bhk,1026.0,occupied,2008.0,v1.0.0
t02-f07-u06,t02,b,7.0,6,1bhk,482.0,occupied,2023.0,v1.0.0
t02-f07-u07,t02,b,7.0,7,1bhk,626.0,occupied,2017.0,v1.0.0
t02-f07-u08,t02,b,7.0,8,1bhk,618.0,vacant,2017.0,v1.0.0
t02-f08-u01,t02,b,8.0,1,3bhk,1209.0,occupied,2003.0,v1.0.0
t02-f08-u02,t02,b,8.0,2,3bhk,1277.0,occupied,2022.0,v1.0.0
t02-f08-u03,t02,b,8.0,3,2bhk,1162.0,occupied,2004.0,v1.0.0
t02-f08-u04,t02,b,8.0,4,2bhk,979.0,occupied,2001.0,v1.0.0
t02-f08-u05,t02,b,8.0,5,2bhk,1127.0,occupied,2011.0,v1.0.0
t02-f08-u06,t02,b,8.0,6,1bhk,698.0,occupied,2017.0,v1.0.0
t02-f08-u07,t02,b,8.0,7,1bhk,475.0,occupied,2013.0,v1.0.0
t02-f08-u08,t02,b,8.0,8,1bhk,465.0,occupied,2001.0,v1.0.0
t02-f09-u01,t02,b,9.0,1,3bhk,1515.0,vacant,2011.0,v1.0.0
t02-f09-u02,t02,b,9.0,2,3bhk,1240.0,vacant,2011.0,v1.0.0
t02-f09-u03,t02,b,9.0,3,2bhk,807.0,occupied,2021.0,v1.0.0
t02-f09-u04,t02,b,9.0,4,2bhk,827.0,occupied,2021.0,v1.0.0
t02-f09-u05,t02,b,9.0,5,2bhk,752.0,vacant,2011.0,v1.0.0
t02-f09-u06,t02,b,9.0,6,1bhk,686.0,occupied,2013.0,v1.0.0
t02-f09-u07,t02,b,9.0,7,1bhk,479.0,vacant,2011.0,v1.0.0
t02-f09-u08,t02,b,9.0,8,1bhk,483.0,occupied,2005.0,v1.0.0
t02-f10-u01,t02,b,10.0,1,3bhk,1622.0,occupied,2000.0,v1.0.0
t02-f10-u02,t02,b,10.0,2,3bhk,1383.0,vacant,2023.0,v1.0.0
t02-f10-u03,t02,b,10.0,3,2bhk,1173.0,occupied,2010.0,v1.0.0
t02-f10-u04,t02,b,10.0,4,2bhk,1100.0,vacant,2013.0,v1.0.0
t02-f10-u05,t02,b,10.0,5,2bhk,1110.0,occupied,2021.0,v1.0.0
t02-f10-u06,t02,b,10.0,6,1bhk,527.0,vacant,2008.0,v1.0.0
t02-f10-u07,t02,b,10.0,7,1bhk,879.0,occupied,2022.0,v1.0.0
t02-f10-u08,t02,b,10.0,8,1bhk,455.0,occupied,2012.0,v1.0.0
t02-f11-u01,t02,b,11.0,1,3bhk,1239.0,occupied,2015.0,v1.0.0
t02-f11-u02,t02,b,11.0,2,3bhk,879.0,occupied,2006.0,v1.0.0
t02-f11-u03,t02,b,11.0,3,2bhk,1118.0,occupied,2014.0,v1.0.0
t02-f11-u04,t02,b,11.0,4,2bhk,879.0,occupied,2009.0,v1.0.0
t02-f11-u05,t02,b,11.0,5,2bhk,1120.0,occupied,2007.0,v1.0.0
t02-f11-u06,t02,b,11.0,6,1bhk,514.0,occupied,2000.0,v1.0.0
t02-f11-u07,t02,b,11.0,7,1bhk,498.0,occupied,2012.0,v1.0.0
t02-f11-u08,t02,b,11.0,8,1bhk,568.0,vacant,2008.0,v1.0.0
t02-f12-u01,t02,b,12.0,1,3bhk,1271.0,occupied,2008.0,v1.0.0
t02-f12-u02,t02,b,12.0,2,3bhk,1559.0,vacant,2020.0,v1.0.0
t02-f12-u03,t02,b,12.0,3,2bhk,960.0,occupied,2012.0,v1.0.0
t02-f12-u04,t02,b,12.0,4,2bhk,1047.0,occupied,2017.0,v1.0.0
t02-f12-u05,t02,b,12.0,5,2bhk,869.0,occupied,2000.0,v1.0.0
t02-f12-u06,t02,b,11.0,6,1bhk,459.0,occupied,2008.0,v1.0.0
t02-f12-u07,t02,b,12.0,7,1bhk,491.0,occupied,2018.0,v1.0.0
t02-f12-u08,t02,b,12.0,8,1bhk,535.0,occupied,2001.0,v1.0.0
t02-f13-u01,t02,b,13.0,1,1bhk,1311.0,occupied,2019.0,v1.0.0
t02-f13-u02,t02,b,13.0,2,3bhk,1644.0,occupied,2011.0,v1.0.0
