failure_id,asset_id,failure_date,failure_type,downtime_hours,dataset_version
flr-000001,ast-00018,2023-12-09,wear & tear,52.87,v1.0.0
flr-000002,ast-00092,2015-02-28,electrical,197.32,v1.0.0
flr-000003,ast-00205,2017-12-02,electrical,211.84,v1.0.0
flr-000004,ast-00154,2023-01-03,electrical,75.56,v1.0.0
flr-000005,ast-00466,2026-05-08,wear & tear,55.6,v1.0.0
flr-000006,ast-00437,2020-11-18,wear & tear,257.55,v1.0.0
flr-000007,ast-00340,2026-02-05,electrical,48.93,v1.0.0
flr-000008,ast-00332,2015-06-21,mechanical,28.4,v1.0.0
flr-000009,ast-00107,2017-08-03,wear & tear,250.93,v1.0.0
flr-000010,ast-00176,2023-05-27,wear & tear,193.86,v1.0.0
flr-000011,ast-00112,2024-02-14,wear & tear,154.14,v1.0.0
flr-000012,ast-00081,2024-06-16,software,141.41,v1.0.0
flr-000013,ast-00085,2021-06-06,software,155.74,v1.0.0
flr-000014,ast-00102,2023-05-01,electrical,9.16,v1.0.0
flr-000015,ast-00132,2023-04-05,mechanical,50.71,v1.0.0
flr-000016,ast-00055,2024-06-25,mechanical,139.5,v1.0.0
flr-000017,ast-00437,2025-07-14,wear & tear,98.05,v1.0.0
flr-000018,ast-00250,2024-02-03,software,203.52,v1.0.0
flr-000019,ast-00446,2024-08-07,electrical,19.63,v1.0.0
flr-000020,ast-00084,2023-09-13,mechanical,157.08,v1.0.0
flr-000021,ast-00104,2025-09-30,electrical,6.83,v1.0.0
flr-000022,ast-00241,2014-11-13,mechanical,155.31,v1.0.0
flr-000023,ast-00038,2022-08-14,software,77.89,v1.0.0
flr-000024,ast-00318,2024-11-11,software,100.87,v1.0.0
flr-000025,ast-00270,2022-01-02,electrical,95.79,v1.0.0
flr-000026,ast-00122,2011-01-02,software,45.77,v1.0.0
flr-000027,ast-00482,2018-05-30,electrical,36.45,v1.0.0
flr-000028,ast-00198,2025-07-07,mechanical,122.76,v1.0.0
flr-000029,ast-00149,2016-01-08,software,167.62,v1.0.0
flr-000030,ast-00176,2025-05-31,mechanical,41.81,v1.0.0
flr-000031,ast-00032,2026-05-19,wear & tear,62.38,v1.0.0
flr-000032,ast-00314,2022-12-26,electrical,84.49,v1.0.0
flr-000033,ast-00178,2023-01-19,mechanical,123.43,v1.0.0
flr-000034,ast-00117,2023-08-28,electrical,118.67,v1.0.0
flr-000035,ast-00311,2010-12-22,mechanical,104.12,v1.0.0
flr-000036,ast-00472,2025-07-05,mechanical,292.03,v1.0.0
flr-000037,ast-00357,2024-03-20,mechanical,66.33,v1.0.0
flr-000038,ast-00257,2024-05-27,mechanical,121.58,v1.0.0
flr-000039,ast-00127,2013-07-27,software,279.56,v1.0.0
flr-000040,ast-00259,2023-03-08,software,135.72,v1.0.0
flr-000041,ast-00430,2022-11-29,wear & tear,108.61,v1.0.0
flr-000042,ast-00127,2014-12-01,mechanical,292.24,v1.0.0
flr-000043,ast-00413,2017-04-28,wear & tear,112.04,v1.0.0
flr-000044,ast-00205,2012-11-15,mechanical,21.1,v1.0.0
flr-000045,ast-00155,2025-12-21,mechanical,98.98,v1.0.0
flr-000046,ast-00299,2026-02-17,mechanical,49.3,v1.0.0
flr-000047,ast-00230,2023-09-14,electrical,24.86,v1.0.0
flr-000048,ast-00052,2014-11-15,external,46.64,v1.0.0
flr-000049,ast-00280,2026-05-19,software,214.85,v1.0.0
flr-000050,ast-00041,2025-01-21,wear & tear,131.52,v1.0.0
flr-000051,ast-00391,2025-06-13,mechanical,129.58,v1.0.0
flr-000052,ast-00092,2009-09-19,wear & tear,97.75,v1.0.0
flr-000053,ast-00147,2024-12-21,electrical,67.53,v1.0.0
flr-000054,ast-00223,2013-10-06,software,29.9,v1.0.0
flr-000055,ast-00058,2024-06-17,wear & tear,241.69,v1.0.0
flr-000056,ast-00417,2025-06-19,electrical,100.4,v1.0.0
flr-000057,ast-00492,2017-02-19,mechanical,13.53,v1.0.0
flr-000058,ast-00070,2023-04-16,software,155.27,v1.0.0
flr-000059,ast-00019,2021-05-25,electrical,225.79,v1.0.0
flr-000060,ast-00144,2023-11-13,software,85.45,v1.0.0
flr-000061,ast-00038,2024-11-09,mechanical,145.76,v1.0.0
flr-000062,ast-00168,2022-07-12,software,43.98,v1.0.0
flr-000063,ast-00363,2025-09-12,mechanical,182.08,v1.0.0
flr-000064,ast-00489,2022-05-22,mechanical,142.13,v1.0.0
flr-000065,ast-00473,2022-06-26,software,9.09,v1.0.0
flr-000066,ast-00180,2024-05-23,electrical,16.19,v1.0.0
flr-000067,ast-00046,2024-06-14,software,48.48,v1.0.0
flr-000068,ast-00383,2024-05-27,mechanical,8.8,v1.0.0
flr-000069,ast-00293,2026-05-29,wear & tear,10.28,v1.0.0
flr-000070,ast-00093,2024-05-21,software,16.37,v1.0.0
flr-000071,ast-00023,2016-09-20,mechanical,280.52,v1.0.0
flr-000072,ast-00466,2023-10-23,mechanical,104.91,v1.0.0
flr-000073,ast-00196,2026-05-19,mechanical,95.31,v1.0.0
flr-000074,ast-00459,2022-04-03,wear & tear,114.89,v1.0.0
flr-000075,ast-00191,2017-11-13,mechanical,189.84,v1.0.0
flr-000076,ast-00143,2024-10-06,mechanical,70.51,v1.0.0
flr-000077,ast-00485,2020-05-22,electrical,131.74,v1.0.0
flr-000078,ast-00429,2019-02-08,mechanical,58.18,v1.0.0
flr-000079,ast-00490,2022-11-11,electrical,96.06,v1.0.0
flr-000080,ast-00158,2021-12-27,mechanical,105.85,v1.0.0
flr-000081,ast-00230,2026-03-03,mechanical,93.64,v1.0.0
flr-000082,ast-00059,2026-03-25,wear & tear,98.31,v1.0.0
flr-000083,ast-00427,2013-11-02,wear & tear,174.57,v1.0.0
flr-000084,ast-00448,2025-11-15,mechanical,130.27,v1.0.0
flr-000085,ast-00328,2023-06-22,wear & tear,44.95,v1.0.0
flr-000086,ast-00098,2020-10-28,mechanical,160.77,v1.0.0
flr-000087,ast-00044,2024-06-09,electrical,86.82,v1.0.0
flr-000088,ast-00388,2022-04-12,electrical,6.0,v1.0.0
flr-000089,ast-00075,2023-06-21,external,155.83,v1.0.0
flr-000090,ast-00215,2025-11-07,wear & tear,50.9,v1.0.0
flr-000091,ast-00296,2014-07-23,mechanical,270.26,v1.0.0
flr-000092,ast-00260,2023-07-01,mechanical,111.34,v1.0.0
flr-000093,ast-00247,2025-11-10,mechanical,250.84,v1.0.0
flr-000094,ast-00392,2019-06-16,electrical,233.03,v1.0.0
flr-000095,ast-00258,2019-10-02,wear & tear,162.04,v1.0.0
flr-000096,ast-00484,2026-05-19,software,301.06,v1.0.0
flr-000097,ast-00205,2012-03-22,electrical,126.99,v1.0.0
flr-000098,ast-00080,2024-10-17,software,116.75,v1.0.0
flr-000099,ast-00351,2025-02-01,electrical,122.21,v1.0.0
flr-000100,ast-00228,2021-10-25,electrical,27.45,v1.0.0
flr-000101,ast-00076,2022-11-19,wear & tear,83.19,v1.0.0
flr-000102,ast-00083,2024-07-25,software,73.69,v1.0.0
flr-000103,ast-00205,2014-06-20,electrical,243.08,v1.0.0
flr-000104,ast-00428,2026-05-19,software,8.2,v1.0.0
flr-000105,ast-00184,2025-08-17,software,174.39,v1.0.0
flr-000106,ast-00129,2021-11-30,electrical,262.71,v1.0.0
flr-000107,ast-00082,2016-11-07,electrical,144.77,v1.0.0
flr-000108,ast-00411,2022-10-23,mechanical,114.89,v1.0.0
flr-000109,ast-00470,2025-07-25,mechanical,231.91,v1.0.0
flr-000110,ast-00089,2022-09-20,external,23.66,v1.0.0
flr-000111,ast-00174,2026-05-05,electrical,6.02,v1.0.0
flr-000112,ast-00003,2024-09-07,wear & tear,91.8,v1.0.0
flr-000113,ast-00017,2022-07-24,wear & tear,106.53,v1.0.0
flr-000114,ast-00074,2023-12-16,mechanical,93.71,v1.0.0
flr-000115,ast-00231,2023-10-29,electrical,45.1,v1.0.0
flr-000116,ast-00496,2026-05-14,electrical,37.37,v1.0.0
flr-000117,ast-00235,2020-09-28,mechanical,238.94,v1.0.0
flr-000118,ast-00472,2017-02-18,electrical,273.37,v1.0.0
flr-000119,ast-00128,2018-12-01,electrical,168.11,v1.0.0
flr-000120,ast-00348,2017-09-04,mechanical,61.73,v1.0.0
flr-000121,ast-00271,2021-02-02,mechanical,58.66,v1.0.0
flr-000122,ast-00054,2018-06-06,mechanical,17.13,v1.0.0
flr-000123,ast-00375,2023-10-27,electrical,185.62,v1.0.0
flr-000124,ast-00208,2018-11-13,wear & tear,143.64,v1.0.0
