asset_id,tower_id,asset_name,asset_category,manufacturer,installation_date,warranty_end,maintenance_frequency,last_service_date,asset_status,dataset_version
ast-00001,t01,t01 lift #1,lift,honeywell,2008-03-04,2011-06-01,quarterly,2019-06-01,operational,v1.0.0
ast-00002,t01,t01 fire alarm #2,fire alarm,hikvision,2023-10-20,2027-08-24,monthly,2026-03-20,operational,v1.0.0
ast-00003,t01,t01 generator #3,generator,kone,2019-07-27,2024-06-18,monthly,2021-10-08,operational,v1.0.0
ast-00004,t01,t01 lift #4,lift,schindler,2007-08-23,2011-07-12,bi-annual,2022-11-27,operational,v1.0.0
ast-00005,t01,t01 water tank #5,water tank,daikin,2008-01-28,2012-02-06,monthly,2012-10-26,operational,v1.0.0
ast-00006,t01,t01 generator #6,generator,otis,2021-02-15,2024-10-21,quarterly,2012-10-26,operational,v1.0.0
ast-00007,t01,t01 water tank #7,water tank,carrier,2024-04-07,2027-05-01,bi-annual,2025-11-23,operational,v1.0.0
ast-00008,t01,t01 hvac unit #8,hvac unit,otis,2020-10-27,2025-09-13,bi-annual,2021-04-01,operational,v1.0.0
ast-00009,t01,t01 cctv #9,cctv,carrier,2019-09-05,2020-10-19,monthly,2026-05-27,operational,v1.0.0
ast-00010,t01,t01 water tank #10,water tank,hikvision,2018-04-06,2019-08-01,monthly,2019-02-24,operational,v1.0.0
ast-00011,t01,t01 water tank #11,water tank,carrier,2014-05-04,2015-07-11,bi-annual,2014-06-22,failed,v1.0.0
ast-00012,t01,t01 hvac unit #12,hvac unit,schindler,2018-08-07,2023-04-13,quarterly,2012-10-26,operational,v1.0.0
ast-00013,t01,t01 water tank #13,water tank,carrier,2010-07-02,2012-11-26,bi-annual,2021-12-08,operational,v1.0.0
ast-00014,t01,t01 cctv #33,generator,hikvision,2021-09-18,2024-06-30,quarterly,2023-08-18,operational,v1.0.0
ast-00015,t01,t01 lift #15,lift,schindler,2018-03-06,2021-03-14,annual,2023-02-04,operational,v1.0.0
ast-00016,t01,t01 lift #16,lift,otis,2024-01-20,2025-05-27,bi-annual,2024-04-18,operational,v1.0.0
ast-00017,t01,t01 hvac unit #17,hvac unit,otis,2022-02-27,2026-06-16,monthly,2023-09-03,operational,v1.0.0
ast-00018,t01,t01 fire alarm #18,fire alarm,kone,2023-04-08,2025-12-28,annual,2026-03-27,operational,v1.0.0
ast-00019,t01,t01 water pump #19,water pump,honeywell,2008-08-13,2011-07-16,quarterly,2025-09-05,operational,v1.0.0
ast-00020,t01,t01 generator #20,generator,otis,2022-08-28,2025-10-30,monthly,2025-01-19,operational,v1.0.0
ast-00021,t01,t01 water pump #21,water pump,kone,2025-05-20,2026-10-24,monthly,2025-07-21,operational,v1.0.0
ast-00022,t01,t01 fire alarm #22,fire alarm,honeywell,2016-01-05,2019-07-24,annual,2022-08-05,operational,v1.0.0
ast-00023,t01,t01 lift #23,lift,daikin,2010-11-01,2014-06-09,annual,2016-06-05,operational,v1.0.0
ast-00024,t01,t01 hvac unit #24,hvac unit,honeywell,2014-02-06,2016-10-27,quarterly,2016-05-30,operational,v1.0.0
ast-00025,t01,t01 lift #25,lift,kone,2021-06-30,2025-04-29,bi-annual,2021-09-14,operational,v1.0.0
ast-00026,t01,t01 water pump #26,water pump,kone,2020-12-11,2024-10-25,bi-annual,2024-10-21,operational,v1.0.0
ast-00027,t01,t01 fire alarm #27,fire alarm,carrier,2009-01-18,2013-06-27,quarterly,2017-05-14,failed,v1.0.0
ast-00028,t01,t01 hvac unit #28,hvac unit,schindler,2013-08-28,2018-04-01,bi-annual,2015-04-12,operational,v1.0.0
ast-00029,t01,t01 water tank #29,water tank,cummins,2015-06-07,2019-03-10,quarterly,2017-07-09,failed,v1.0.0
ast-00030,t01,t01 fire alarm #30,fire alarm,honeywell,2014-12-15,2017-07-24,monthly,2017-10-11,operational,v1.0.0
ast-00031,t01,t01 lift #31,lift,honeywell,2032-01-01,2021-02-28,bi-annual,2024-01-31,operational,v1.0.0
ast-00032,t01,t01 hvac unit #32,hvac unit,honeywell,2017-10-23,2020-09-10,quarterly,2018-11-30,operational,v1.0.0
ast-00033,t01,t01 cctv #33,cctv,schindler,2011-06-17,2014-11-01,monthly,2017-04-13,operational,v1.0.0
ast-00034,t01,t01 water tank #34,water tank,cummins,2014-07-28,2016-09-06,quarterly,2017-07-12,operational,v1.0.0
ast-00035,t02,t02 lift #35,lift,hikvision,2019-12-13,2021-07-18,quarterly,2023-04-17,operational,v1.0.0
ast-00036,t02,t02 fire alarm #36,fire alarm,kone,2009-03-29,2012-04-30,quarterly,2014-06-01,failed,v1.0.0
ast-00037,t02,t02 generator #37,generator,otis,2019-02-18,2020-06-30,monthly,2021-09-04,failed,v1.0.0
ast-00038,t02,t02 fire alarm #38,fire alarm,schindler,2020-09-11,2022-01-23,monthly,2023-12-08,operational,v1.0.0
ast-00039,t02,t02 fire alarm #39,fire alarm,kone,2019-02-06,2021-06-28,bi-annual,2012-10-26,operational,v1.0.0
ast-00040,t02,t02 lift #40,lift,cummins,2017-11-22,2022-08-12,annual,2024-11-22,operational,v1.0.0
ast-00041,t02,t02 hvac unit #41,hvac unit,cummins,2024-11-24,2029-08-07,annual,2025-05-02,operational,v1.0.0
ast-00042,t02,t02 water pump #42,water pump,cummins,2011-06-15,2016-02-06,quarterly,2022-02-22,operational,v1.0.0
ast-00043,t02,t02 lift #43,lift,carrier,2017-07-17,2020-10-19,monthly,2025-02-26,operational,v1.0.0
ast-00044,t02,t02 water pump #44,water pump,hikvision,2032-01-01,2026-03-08,bi-annual,2025-01-20,operational,v1.0.0
ast-00045,t02,t02 fire alarm #45,fire alarm,hikvision,2011-07-25,2016-01-20,quarterly,2020-03-04,operational,v1.0.0
ast-00046,t02,t02 lift #46,lift,cummins,2020-07-17,2024-09-15,monthly,2025-03-25,under maintenance,v1.0.0
ast-00047,t02,t02 hvac unit #47,hvac unit,honeywell,2023-01-18,2027-07-02,quarterly,2024-09-17,operational,v1.0.0
ast-00048,t02,t02 cctv #48,cctv,cummins,2022-07-21,2023-10-22,monthly,2023-03-02,under maintenance,v1.0.0
ast-00049,t02,t02 water pump #49,water pump,daikin,2009-01-01,2011-08-01,quarterly,2012-04-11,operational,v1.0.0
ast-00050,t02,t02 cctv #50,cctv,carrier,2010-11-14,2012-08-23,quarterly,2015-09-01,operational,v1.0.0
ast-00051,t02,t02 generator #51,generator,hikvision,2020-08-31,2022-04-16,annual,2025-04-21,under maintenance,v1.0.0
ast-00052,t02,t01 cctv #33,water tank,hikvision,2008-11-09,2013-05-04,annual,2023-11-04,operational,v1.0.0
ast-00053,t02,t02 lift #53,lift,honeywell,2024-07-15,2028-04-08,monthly,2024-12-09,failed,v1.0.0
ast-00054,t02,t02 hvac unit #54,hvac unit,cummins,2007-09-01,2009-04-13,bi-annual,2010-05-22,operational,v1.0.0
ast-00055,t02,t02 hvac unit #55,hvac unit,honeywell,2020-01-17,2024-04-23,bi-annual,2020-10-18,operational,v1.0.0
ast-00056,t02,t02 water pump #56,water pump,daikin,2013-11-09,2017-02-06,annual,2014-03-04,operational,v1.0.0
ast-00057,t02,t02 hvac unit #57,hvac unit,carrier,2021-06-09,2024-02-18,annual,2023-06-03,operational,v1.0.0
ast-00058,t02,t02 generator #58,generator,cummins,2008-10-23,2013-01-24,annual,2013-07-10,operational,v1.0.0
ast-00059,t02,t02 water pump #59,water pump,cummins,2017-08-28,2018-10-19,monthly,2023-07-24,operational,v1.0.0
ast-00060,t02,t02 lift #60,lift,kone,2023-11-30,2027-09-14,monthly,2025-06-23,operational,v1.0.0
ast-00061,t02,t02 generator #61,generator,schindler,2021-12-03,2025-08-27,bi-annual,2023-06-19,operational,v1.0.0
ast-00062,t02,t02 hvac unit #62,hvac unit,hikvision,2018-07-18,2020-11-02,annual,2023-07-30,operational,v1.0.0
ast-00063,t02,t02 generator #63,generator,cummins,2024-04-03,2026-11-10,monthly,2025-03-15,operational,v1.0.0
ast-00064,t02,t02 water tank #64,water tank,schindler,2022-09-29,2026-10-05,annual,2025-10-06,operational,v1.0.0
ast-00065,t02,t02 cctv #65,cctv,cummins,2009-05-07,2012-10-25,bi-annual,2023-11-20,operational,v1.0.0
ast-00066,t02,t01 cctv #33,fire alarm,honeywell,2012-03-27,2015-07-30,quarterly,2022-02-22,operational,v1.0.0
ast-00067,t02,t02 water tank #67,water tank,otis,2032-01-01,2017-05-12,bi-annual,2020-07-24,operational,v1.0.0
ast-00068,t02,t02 lift #68,lift,daikin,2016-02-10,2019-11-20,bi-annual,2019-11-10,operational,v1.0.0
ast-00069,t03,t03 lift #69,lift,carrier,2024-10-28,2025-12-07,monthly,2025-02-07,operational,v1.0.0
ast-00070,t03,t03 fire alarm #70,fire alarm,otis,2022-01-12,2025-09-02,quarterly,2023-01-29,operational,v1.0.0
ast-00071,t03,t03 generator #71,generator,schindler,2012-07-15,2017-01-17,bi-annual,2025-01-18,operational,v1.0.0
