availability_id,technician_id,date,shift,availability,dataset_version
avl-000001,tec-001,2024-06-05,full day,leave,v1.0.0
avl-000002,tec-001,2024-06-06,full day,available,v1.0.0
avl-000003,tec-001,2024-06-07,full day,available,v1.0.0
avl-000004,tec-001,2024-06-08,full day,available,v1.0.0
avl-000005,tec-001,2024-06-09,full day,leave,v1.0.0
avl-000006,tec-001,2024-06-10,full day,available,v1.0.0
avl-000007,tec-001,2024-06-11,full day,available,v1.0.0
avl-000008,tec-001,2024-06-12,full day,busy,v1.0.0
avl-000009,tec-001,2024-06-13,full day,available,v1.0.0
avl-000010,tec-001,2024-06-14,full day,leave,v1.0.0
avl-000011,tec-001,2024-06-15,full day,available,v1.0.0
avl-000012,tec-001,2024-06-16,full day,available,v1.0.0
avl-000013,tec-001,2024-06-17,full day,available,v1.0.0
avl-000014,tec-001,2024-06-18,full day,leave,v1.0.0
avl-000015,tec-001,2024-06-19,full day,available,v1.0.0
avl-000016,tec-001,2024-06-20,full day,available,v1.0.0
avl-000017,tec-001,2024-06-21,full day,available,v1.0.0
avl-000018,tec-001,2024-06-22,full day,available,v1.0.0
avl-000019,tec-001,2024-06-23,full day,available,v1.0.0
avl-000020,tec-001,2024-06-24,full day,available,v1.0.0
avl-000021,tec-001,2024-06-25,full day,available,v1.0.0
avl-000022,tec-001,2024-06-26,full day,available,v1.0.0
avl-000023,tec-001,2024-06-27,full day,available,v1.0.0
avl-000024,tec-001,2024-06-28,full day,available,v1.0.0
avl-000025,tec-001,2024-06-29,full day,leave,v1.0.0
avl-000026,tec-001,2024-06-30,full day,available,v1.0.0
avl-000027,tec-001,2024-07-01,full day,busy,v1.0.0
avl-000028,tec-001,2024-07-02,full day,busy,v1.0.0
avl-000029,tec-001,2024-07-03,full day,available,v1.0.0
avl-000030,tec-001,2024-07-04,full day,available,v1.0.0
avl-000031,tec-001,2024-07-05,full day,available,v1.0.0
avl-000032,tec-001,2024-07-06,full day,available,v1.0.0
avl-000033,tec-001,2024-07-07,full day,busy,v1.0.0
avl-000034,tec-001,2024-07-08,full day,busy,v1.0.0
avl-000035,tec-001,2024-07-09,full day,available,v1.0.0
avl-000036,tec-001,2025-03-25,full day,busy,v1.0.0
avl-000037,tec-001,2024-07-11,full day,busy,v1.0.0
avl-000038,tec-001,2024-07-12,full day,available,v1.0.0
avl-000039,tec-001,2024-07-13,full day,available,v1.0.0
avl-000040,tec-001,2024-07-14,full day,available,v1.0.0
