history_id,technician_id,request_id,category,success_rate,resolution_hours,dataset_version
thx-000001,tec-009,req-019697,lift,0.847,16.85,v1.0.0
thx-000002,tec-007,req-001076,security,0.837,8.94,v1.0.0
thx-000003,tec-012,req-006705,parking,0.961,87.52,v1.0.0
thx-000004,tec-027,req-014951,noise,0.939,80.36,v1.0.0
thx-000005,tec-048,req-014106,electrical,0.494,20.48,v1.0.0
thx-000006,tec-023,req-007803,lift,1.0,4.35,v1.0.0
thx-000007,tec-015,req-020989,plumbing,0.972,21.87,v1.0.0
thx-000008,tec-075,req-005491,security,0.771,19.93,v1.0.0
thx-000009,tec-002,req-018015,lift,0.788,4.81,v1.0.0
thx-000010,tec-078,req-014207,fire safety,0.606,4.02,v1.0.0
thx-000011,tec-014,req-019978,water leakage,0.923,4.49,v1.0.0
thx-000012,tec-017,req-010376,parking,1.0,6.56,v1.0.0
thx-000013,tec-009,req-002085,parking,0.776,114.45,v1.0.0
thx-000014,tec-014,req-000975,security,0.864,13.82,v1.0.0
thx-000015,tec-076,req-003023,security,0.877,13.66,v1.0.0
thx-000016,tec-027,req-006611,water leakage,0.854,10.79,v1.0.0
thx-000017,tec-013,req-006286,parking,0.524,44.27,v1.0.0
thx-000018,tec-023,req-007999,electrical,0.95,13.66,v1.0.0
thx-000019,tec-002,req-007969,electrical,0.782,36.86,v1.0.0
thx-000020,tec-002,req-010827,plumbing,0.678,1.99,v1.0.0
thx-000021,tec-005,req-003418,security,0.72,5.43,v1.0.0
thx-000022,tec-074,req-000237,security,1.0,13.66,v1.0.0
thx-000023,tec-044,req-003709,water leakage,0.601,18.38,v1.0.0
thx-000024,tec-035,req-002361,water leakage,0.989,15.43,v1.0.0
thx-000025,tec-007,req-001567,parking,0.815,46.16,v1.0.0
thx-000026,tec-026,req-014247,lift,0.954,6.98,v1.0.0
thx-000027,tec-007,req-004388,noise,0.814,44.69,v1.0.0
thx-000028,tec-004,req-004808,water supply,0.803,3.46,v1.0.0
thx-000029,tec-043,req-011044,water leakage,0.877,13.02,v1.0.0
thx-000030,tec-010,req-018109,parking,0.912,88.28,v1.0.0
thx-000031,tec-018,req-013281,plumbing,0.905,102.44,v1.0.0
thx-000032,tec-023,req-010984,water leakage,1.0,5.82,v1.0.0
thx-000033,tec-029,req-013178,water supply,0.762,4.68,v1.0.0
thx-000034,tec-008,req-012791,noise,0.674,100.6,v1.0.0
thx-000035,tec-021,req-010524,electrical,0.876,9.11,v1.0.0
thx-000036,tec-012,req-012768,security,0.948,1.17,v1.0.0
thx-000037,tec-067,req-013769,hvac,0.869,4.03,v1.0.0
thx-000038,tec-004,req-003247,lift,0.832,10.51,v1.0.0
thx-000039,tec-074,req-019688,security,1.0,3.32,v1.0.0
thx-000040,tec-038,req-021383,water leakage,0.951,7.86,v1.0.0
thx-000041,tec-004,req-015259,lift,0.748,4.68,v1.0.0
thx-000042,tec-005,req-010260,lift,0.764,2.5,v1.0.0
thx-000043,tec-018,req-018157,noise,0.888,18.2,v1.0.0
thx-000044,tec-027,req-003894,water supply,1.0,3.67,v1.0.0
thx-000045,tec-008,req-001953,fire safety,0.857,16.03,v1.0.0
thx-000046,tec-043,req-004874,water leakage,0.839,4.65,v1.0.0
thx-000047,tec-008,req-001269,plumbing,0.907,82.24,v1.0.0
thx-000048,tec-009,req-014561,electrical,0.715,106.81,v1.0.0
thx-000049,tec-024,req-013509,noise,0.879,9.34,v1.0.0
thx-000050,tec-020,req-016753,electrical,0.756,35.82,v1.0.0
thx-000051,tec-026,req-009950,parking,0.939,10.0,v1.0.0
thx-000052,tec-034,req-012118,water supply,0.68,42.43,v1.0.0
thx-000053,tec-009,req-016231,electrical,0.861,24.72,v1.0.0
thx-000054,tec-007,req-008547,parking,0.872,100.73,v1.0.0
thx-000055,tec-011,req-007067,water supply,0.592,70.87,v1.0.0
thx-000056,tec-006,req-000205,hvac,0.529,13.66,v1.0.0
thx-000057,tec-006,req-005320,water supply,0.635,81.11,v1.0.0
thx-000058,tec-043,req-001238,water leakage,0.877,4.35,v1.0.0
thx-000059,tec-014,req-014420,hvac,1.0,105.91,v1.0.0
thx-000060,tec-027,req-009503,water leakage,1.0,14.97,v1.0.0
thx-000061,tec-001,req-001264,electrical,0.877,28.83,v1.0.0
thx-000062,tec-005,req-010640,noise,0.671,39.41,v1.0.0
thx-000063,tec-011,req-021517,hvac,0.539,1.02,v1.0.0
thx-000064,tec-028,req-011582,parking,0.991,50.59,v1.0.0
thx-000065,tec-076,req-015233,fire safety,0.845,3.54,v1.0.0
thx-000066,tec-001,req-007881,water leakage,0.557,7.74,v1.0.0
thx-000067,tec-014,req-010701,water leakage,0.821,0.99,v1.0.0
thx-000068,tec-011,req-008950,parking,0.699,35.03,v1.0.0
thx-000069,tec-023,req-006564,electrical,1.0,16.66,v1.0.0
