apartment_id,tower_id,block_name,floor_number,unit_number,apartment_type,square_feet,occupancy_status,purchase_year,dataset_version
T01-F01-U01,T01,A,1.0,1,3BHK,1314.0,Occupied,2000.0,v1.0.0
T01-F01-U02,T01,A,1.0,2,,1481.0,Vacant,2007.0,v1.0.0
T01-F01-U03,T01,A,1.0,3,2BHK,814.0,Occupied,2004.0,v1.0.0
T01-F01-U04,T01,A,1.0,4,,1077.0,Vacant,2003.0,v1.0.0
T01-F01-U05,T01,A,1.0,5,2BHK,1046.0,Vacant,2023.0,v1.0.0
T01-F01-U06,T01,A,1.0,6,1BHK,679.0,Vacant,2002.0,v1.0.0
T01-F01-U07,T01,A,1.0,7,1BHK,616.0,Occupied,2001.0,v1.0.0
T01-F01-U08,T01,A,1.0,8,1BHK,415.0,Vacant,,v1.0.0
T01-F02-U01,T01,A,2.0,1,3BHK,1423.0,Occupied,2007.0,v1.0.0
T01-F02-U02,T01,A,2.0,2,3BHK,1717.0,Occupied,2019.0,v1.0.0
T01-F02-U03,T01,A,2.0,3,2BHK,713.0,Occupied,2017.0,v1.0.0
T01-F02-U04,T01,A,2.0,4,2BHK,801.0,Occupied,2022.0,v1.0.0
T01-F02-U05,T01,A,2.0,5,2BHK,1032.0,Occupied,2022.0,v1.0.0
T01-F02-U06,T01,A,2.0,6,1BHK,679.0,Occupied,2013.0,v1.0.0
T01-F02-U07,T01,A,2.0,7,1BHK,512.0,Occupied,2014.0,v1.0.0
T01-F02-U08,T01,A,2.0,8,1BHK,542.0,Occupied,2000.0,v1.0.0
T01-F03-U01,T01,A,3.0,1,3BHK,1363.0,Occupied,2022.0,v1.0.0
T01-F03-U02,T01,A,3.0,2,3BHK,1632.0,Occupied,2010.0,v1.0.0
T01-F03-U03,T01,A,3.0,3,,842.0,Occupied,2004.0,v1.0.0
T01-F03-U04,T01,A,3.0,4,2BHK,810.0,Occupied,2010.0,v1.0.0
T01-F03-U05,T01,A,3.0,5,2BHK,752.0,Occupied,2002.0,v1.0.0
T01-F03-U06,T01,A,3.0,6,1BHK,594.0,Occupied,2003.0,v1.0.0
T01-F03-U07,T01,A,3.0,7,1BHK,583.0,Occupied,,v1.0.0
T01-F03-U08,T01,A,3.0,8,1BHK,,Occupied,2001.0,v1.0.0
T01-F04-U01,T01,A,,1,3BHK,1670.0,Occupied,2017.0,v1.0.0
T01-F04-U02,T01,A,4.0,2,3BHK,1327.0,Vacant,2012.0,v1.0.0
T01-F04-U03,T01,A,4.0,3,2BHK,740.0,Vacant,2017.0,v1.0.0
T01-F04-U04,T01,A,4.0,4,2BHK,850.0,Vacant,2020.0,v1.0.0
T01-F04-U05,T01,A,4.0,5,2BHK,1016.0,Vacant,2011.0,v1.0.0
T01-F04-U06,T01,A,4.0,6,1BHK,,Vacant,2006.0,v1.0.0
T01-F04-U07,T01,A,4.0,7,,435.0,Vacant,2001.0,v1.0.0
T01-F04-U08,T01,A,4.0,8,1BHK,516.0,Occupied,2009.0,v1.0.0
T01-F05-U01,T01,A,5.0,1,3BHK,1281.0,Occupied,2007.0,v1.0.0
T01-F05-U02,T01,A,5.0,2,,1303.0,Occupied,2012.0,v1.0.0
T01-F05-U03,T01,A,5.0,3,2BHK,842.0,Occupied,2014.0,v1.0.0
T01-F05-U04,T01,A,5.0,4,2BHK,1025.0,Occupied,2011.0,v1.0.0
T01-F05-U05,T01,A,5.0,5,2BHK,783.0,Vacant,2011.0,v1.0.0
T01-F05-U06,T01,A,5.0,6,,581.0,Vacant,2006.0,v1.0.0
T01-F05-U07,T01,A,5.0,7,1BHK,,Occupied,2022.0,v1.0.0
T01-F05-U08,T01,A,5.0,8,1BHK,436.0,Occupied,2019.0,v1.0.0
T01-F06-U01,T01,A,6.0,1,3BHK,1375.0,Occupied,2017.0,v1.0.0
T01-F06-U02,T01,A,6.0,2,3BHK,1450.0,Occupied,2005.0,v1.0.0
T01-F06-U03,T01,A,6.0,3,2BHK,936.0,Occupied,2012.0,v1.0.0
T01-F06-U04,T01,A,6.0,4,2BHK,838.0,Occupied,2020.0,v1.0.0
T01-F06-U05,T01,A,6.0,5,2BHK,1052.0,Occupied,2017.0,v1.0.0
T01-F06-U06,T01,A,6.0,6,1BHK,512.0,Occupied,2021.0,v1.0.0
T01-F06-U07,T01,A,6.0,7,1BHK,566.0,Vacant,,v1.0.0
T01-F06-U08,T01,A,6.0,8,1BHK,517.0,,2001.0,v1.0.0
T01-F07-U01,T01,A,7.0,1,3BHK,1523.0,Occupied,2012.0,v1.0.0
T01-F07-U02,T01,A,7.0,2,3BHK,1474.0,Vacant,2002.0,v1.0.0
T01-F07-U03,T01,A,7.0,3,2BHK,808.0,Occupied,2018.0,v1.0.0
T01-F07-U04,T01,A,7.0,4,2BHK,1148.0,Occupied,2022.0,v1.0.0
T01-F07-U05,T01,A,7.0,5,2BHK,861.0,Occupied,2006.0,v1.0.0
T01-F07-U06,T01,A,7.0,6,,655.0,Occupied,2012.0,v1.0.0
T01-F07-U07,T01,A,7.0,7,1BHK,634.0,Occupied,2004.0,v1.0.0
T01-F07-U08,T01,A,,8,1BHK,535.0,Occupied,2004.0,v1.0.0
T01-F08-U01,T01,A,8.0,1,3BHK,1452.0,Occupied,2023.0,v1.0.0
T01-F08-U02,T01,A,8.0,2,3BHK,1774.0,Occupied,2017.0,v1.0.0
T01-F08-U03,T01,A,8.0,3,2BHK,834.0,Occupied,2023.0,v1.0.0
T01-F08-U04,T01,A,8.0,4,2BHK,999.0,Occupied,2013.0,v1.0.0
T01-F08-U05,T01,A,8.0,5,2BHK,1159.0,Occupied,2018.0,v1.0.0
T01-F08-U06,T01,A,8.0,6,1BHK,604.0,Occupied,2011.0,v1.0.0
T01-F08-U07,T01,A,8.0,7,1BHK,512.0,Occupied,2004.0,v1.0.0
T01-F08-U08,T01,A,8.0,8,,660.0,Occupied,2015.0,v1.0.0
T01-F09-U01,T01,A,9.0,1,3BHK,1293.0,Occupied,2001.0,v1.0.0
T01-F09-U02,T01,A,9.0,2,3BHK,1312.0,Vacant,2004.0,v1.0.0
T01-F09-U03,T01,A,9.0,3,2BHK,,Occupied,2005.0,v1.0.0
T01-F09-U04,T01,A,9.0,4,2BHK,1105.0,Occupied,2021.0,v1.0.0
T01-F09-U05,T01,A,9.0,5,2BHK,916.0,Occupied,2019.0,v1.0.0
T01-F09-U06,T01,A,,6,1BHK,432.0,Occupied,2012.0,v1.0.0
T01-F09-U07,T01,A,9.0,7,1BHK,595.0,Occupied,2019.0,v1.0.0
T01-F09-U08,T01,A,9.0,8,1BHK,639.0,Occupied,2016.0,v1.0.0
T01-F10-U01,T01,A,10.0,1,3BHK,1457.0,Occupied,2017.0,v1.0.0
T01-F10-U02,T01,A,10.0,2,3BHK,1211.0,Occupied,2021.0,v1.0.0
T01-F10-U03,T01,A,10.0,3,2BHK,1069.0,Occupied,2003.0,v1.0.0
T01-F10-U04,T01,A,10.0,4,2BHK,1049.0,Occupied,,v1.0.0
T01-F10-U05,T01,A,10.0,5,2BHK,1084.0,,2008.0,v1.0.0
T01-F10-U06,T01,A,10.0,6,1BHK,574.0,Occupied,2003.0,v1.0.0
T01-F10-U07,T01,A,10.0,7,1BHK,550.0,Occupied,2013.0,v1.0.0
T01-F10-U08,T01,A,10.0,8,1BHK,480.0,Occupied,2014.0,v1.0.0
T01-F11-U01,T01,A,11.0,1,3BHK,1203.0,Occupied,2023.0,v1.0.0
T01-F11-U02,T01,A,11.0,2,3BHK,1469.0,Occupied,2016.0,v1.0.0
T01-F11-U03,T01,A,,3,2BHK,1090.0,Occupied,2005.0,v1.0.0
T01-F11-U04,T01,A,11.0,4,2BHK,959.0,Occupied,2003.0,v1.0.0
T01-F11-U05,T01,A,11.0,5,2BHK,1145.0,,2020.0,v1.0.0
T01-F11-U06,T01,A,11.0,6,1BHK,552.0,Occupied,2020.0,v1.0.0
T01-F11-U07,T01,A,11.0,7,1BHK,659.0,Occupied,2019.0,v1.0.0
T01-F11-U08,T01,A,11.0,8,1BHK,501.0,Occupied,2004.0,v1.0.0
T01-F12-U01,T01,A,12.0,1,3BHK,1582.0,Occupied,2005.0,v1.0.0
T01-F12-U02,T01,A,12.0,2,3BHK,1752.0,Occupied,2016.0,v1.0.0
T01-F12-U03,T01,A,12.0,3,2BHK,1170.0,Vacant,2000.0,v1.0.0
T01-F12-U04,T01,A,12.0,4,2BHK,1006.0,Occupied,2010.0,v1.0.0
T01-F12-U05,T01,A,12.0,5,2BHK,950.0,Occupied,2000.0,v1.0.0
T01-F12-U06,T01,A,12.0,6,,457.0,Occupied,2011.0,v1.0.0
T01-F12-U07,T01,A,12.0,7,1BHK,557.0,Occupied,2007.0,v1.0.0
T01-F12-U08,T01,A,12.0,8,1BHK,429.0,Occupied,2007.0,v1.0.0
T01-F13-U01,T01,A,13.0,1,3BHK,1780.0,Occupied,2002.0,v1.0.0
T01-F13-U02,T01,A,13.0,2,3BHK,1287.0,Occupied,2023.0,v1.0.0
T01-F13-U03,T01,A,13.0,3,2BHK,948.0,Occupied,2002.0,v1.0.0
T01-F13-U04,T01,A,13.0,4,2BHK,1200.0,Occupied,2017.0,v1.0.0
T01-F13-U05,T01,A,13.0,5,2BHK,1092.0,Vacant,2004.0,v1.0.0
T01-F13-U06,T01,A,13.0,6,1BHK,465.0,Occupied,2021.0,v1.0.0
T01-F13-U07,T01,A,,7,1BHK,643.0,Vacant,2017.0,v1.0.0
T01-F13-U08,T01,A,13.0,8,1BHK,484.0,Occupied,2008.0,v1.0.0
T01-F14-U01,T01,A,14.0,1,3BHK,1740.0,Vacant,2019.0,v1.0.0
T01-F14-U02,T01,A,14.0,2,3BHK,1633.0,Occupied,2006.0,v1.0.0
T01-F14-U03,T01,A,14.0,3,,1175.0,Occupied,2017.0,v1.0.0
T01-F14-U04,T01,A,14.0,4,2BHK,1086.0,Vacant,2023.0,v1.0.0
T01-F14-U05,T01,A,14.0,5,2BHK,1053.0,Occupied,2006.0,v1.0.0
T01-F14-U06,T01,A,14.0,6,1BHK,559.0,Occupied,2012.0,v1.0.0
