history_id,technician_id,request_id,category,success_rate,resolution_hours,dataset_version
THX-000001,TEC-009,REQ-019697,Lift,0.847,16.85,v1.0.0
THX-000002,TEC-007,REQ-001076,Security,0.837,8.94,v1.0.0
THX-000003,TEC-012,REQ-006705,Parking,0.961,87.52,v1.0.0
THX-000004,TEC-027,REQ-014951,Noise,0.939,80.36,v1.0.0
THX-000005,TEC-048,REQ-014106,Electrical,0.494,20.48,v1.0.0
THX-000006,TEC-023,REQ-007803,Lift,1.0,4.35,v1.0.0
THX-000007,TEC-015,REQ-020989,Plumbing,0.972,21.87,v1.0.0
THX-000008,TEC-075,REQ-005491,Security,0.771,19.93,v1.0.0
THX-000009,TEC-002,REQ-018015,Lift,0.788,4.81,v1.0.0
THX-000010,TEC-078,REQ-014207,Fire Safety,0.606,4.02,v1.0.0
THX-000011,TEC-014,REQ-019978,Water Leakage,0.923,4.49,v1.0.0
THX-000012,TEC-017,REQ-010376,Parking,1.0,6.56,v1.0.0
THX-000013,TEC-009,REQ-002085,Parking,0.776,114.45,v1.0.0
THX-000014,TEC-014,REQ-000975,Security,0.864,13.82,v1.0.0
THX-000015,TEC-076,REQ-003023,Security,,,v1.0.0
THX-000016,TEC-027,REQ-006611,Water Leakage,0.854,10.79,v1.0.0
THX-000017,TEC-013,REQ-006286,Parking,0.524,44.27,v1.0.0
THX-000018,TEC-023,REQ-007999,Electrical,0.95,,v1.0.0
THX-000019,TEC-002,REQ-007969,Electrical,0.782,36.86,v1.0.0
THX-000020,TEC-002,REQ-010827,Plumbing,0.678,1.99,v1.0.0
THX-000021,TEC-005,REQ-003418,Security,0.72,5.43,v1.0.0
THX-000022,TEC-074,REQ-000237,Security,1.0,,v1.0.0
THX-000023,TEC-044,REQ-003709,Water Leakage,0.601,18.38,v1.0.0
THX-000024,TEC-035,REQ-002361,Water Leakage,0.989,15.43,v1.0.0
THX-000025,TEC-007,REQ-001567,Parking,0.815,46.16,v1.0.0
THX-000026,TEC-026,REQ-014247,Lift,0.954,6.98,v1.0.0
THX-000027,TEC-007,REQ-004388,Noise,0.814,44.69,v1.0.0
THX-000028,TEC-004,REQ-004808,Water Supply,0.803,3.46,v1.0.0
THX-000029,TEC-043,REQ-011044,Water Leakage,0.877,13.02,v1.0.0
THX-000030,TEC-010,REQ-018109,Parking,0.912,88.28,v1.0.0
THX-000031,TEC-018,REQ-013281,Plumbing,0.905,102.44,v1.0.0
THX-000032,TEC-023,REQ-010984,Water Leakage,1.0,5.82,v1.0.0
THX-000033,TEC-029,REQ-013178,Water Supply,0.762,4.68,v1.0.0
THX-000034,TEC-008,REQ-012791,Noise,0.674,100.6,v1.0.0
THX-000035,TEC-021,REQ-010524,Electrical,0.876,9.11,v1.0.0
THX-000036,TEC-012,REQ-012768,Security,0.948,1.17,v1.0.0
THX-000037,TEC-067,REQ-013769,HVAC,0.869,4.03,v1.0.0
THX-000038,TEC-004,REQ-003247,Lift,0.832,10.51,v1.0.0
THX-000039,TEC-074,REQ-019688,Security,1.0,3.32,v1.0.0
THX-000040,TEC-038,REQ-021383,Water Leakage,0.951,7.86,v1.0.0
THX-000041,TEC-004,REQ-015259,Lift,0.748,4.68,v1.0.0
THX-000042,TEC-005,REQ-010260,Lift,0.764,2.5,v1.0.0
THX-000043,TEC-018,REQ-018157,Noise,0.888,18.2,v1.0.0
THX-000044,TEC-027,REQ-003894,Water Supply,1.0,3.67,v1.0.0
THX-000045,TEC-008,REQ-001953,Fire Safety,0.857,16.03,v1.0.0
THX-000046,TEC-043,REQ-004874,Water Leakage,0.839,4.65,v1.0.0
THX-000047,TEC-008,REQ-001269,Plumbing,0.907,82.24,v1.0.0
THX-000048,TEC-009,REQ-014561,Electrical,0.715,106.81,v1.0.0
THX-000049,TEC-024,REQ-013509,Noise,0.879,9.34,v1.0.0
THX-000050,TEC-020,REQ-016753,Electrical,0.756,35.82,v1.0.0
THX-000051,TEC-026,REQ-009950,Parking,0.939,10.0,v1.0.0
THX-000052,TEC-034,REQ-012118,Water Supply,0.68,42.43,v1.0.0
THX-000053,TEC-009,REQ-016231,Electrical,0.861,24.72,v1.0.0
THX-000054,TEC-007,REQ-008547,Parking,0.872,100.73,v1.0.0
THX-000055,TEC-011,REQ-007067,Water Supply,0.592,70.87,v1.0.0
THX-000056,TEC-006,REQ-000205,HVAC,0.529,,v1.0.0
THX-000057,TEC-006,REQ-005320,Water Supply,0.635,81.11,v1.0.0
THX-000058,TEC-043,REQ-001238,Water Leakage,0.877,4.35,v1.0.0
THX-000059,TEC-014,REQ-014420,HVAC,1.0,105.91,v1.0.0
THX-000060,TEC-027,REQ-009503,Water Leakage,1.0,14.97,v1.0.0
THX-000061,TEC-001,REQ-001264,Electrical,,28.83,v1.0.0
THX-000062,TEC-005,REQ-010640,Noise,0.671,39.41,v1.0.0
