failure_id,asset_id,failure_date,failure_type,downtime_hours,dataset_version
FLR-000001,AST-00018,2023-12-09,Wear & Tear,52.87,v1.0.0
FLR-000002,AST-00092,2015-02-28,Electrical,197.32,v1.0.0
FLR-000003,AST-00205,2017-12-02,Electrical,211.84,v1.0.0
FLR-000004,AST-00154,2023-01-03,Electrical,75.56,v1.0.0
FLR-000005,AST-00466,2026-05-08,Wear & Tear,55.6,v1.0.0
FLR-000006,AST-00437,2020-11-18,Wear & Tear,257.55,v1.0.0
FLR-000007,AST-00340,2026-02-05,Electrical,48.93,v1.0.0
FLR-000008,AST-00332,2015-06-21,Mechanical,28.4,v1.0.0
FLR-000009,AST-00107,2017-08-03,Wear & Tear,250.93,v1.0.0
FLR-000010,AST-00176,2023-05-27,Wear & Tear,193.86,v1.0.0
FLR-000011,AST-00112,2024-02-14,Wear & Tear,154.14,v1.0.0
FLR-000012,AST-00081,2024-06-16,Software,141.41,v1.0.0
FLR-000013,AST-00085,2021-06-06,Software,155.74,v1.0.0
FLR-000014,AST-00102,2023-05-01,Electrical,9.16,v1.0.0
FLR-000015,AST-00132,2023-04-05,Mechanical,50.71,v1.0.0
FLR-000016,AST-00055,2024-06-25,Mechanical,139.5,v1.0.0
FLR-000017,AST-00437,2025-07-14,Wear & Tear,98.05,v1.0.0
FLR-000018,AST-00250,2024-02-03,Software,203.52,v1.0.0
FLR-000019,AST-00446,2024-08-07,Electrical,19.63,v1.0.0
FLR-000020,AST-00084,2023-09-13,Mechanical,157.08,v1.0.0
FLR-000021,AST-00104,2025-09-30,Electrical,6.83,v1.0.0
FLR-000022,AST-00241,2014-11-13,Mechanical,155.31,v1.0.0
FLR-000023,AST-00038,2022-08-14,Software,77.89,v1.0.0
FLR-000024,AST-00318,2024-11-11,Software,100.87,v1.0.0
FLR-000025,AST-00270,2022-01-02,Electrical,95.79,v1.0.0
FLR-000026,AST-00122,2011-01-02,Software,45.77,v1.0.0
FLR-000027,AST-00482,2018-05-30,Electrical,36.45,v1.0.0
FLR-000028,AST-00198,2025-07-07,,122.76,v1.0.0
FLR-000029,AST-00149,2016-01-08,Software,167.62,v1.0.0
FLR-000030,AST-00176,2025-05-31,Mechanical,41.81,v1.0.0
FLR-000031,AST-00032,,Wear & Tear,62.38,v1.0.0
FLR-000032,AST-00314,2022-12-26,Electrical,84.49,v1.0.0
FLR-000033,AST-00178,2023-01-19,Mechanical,123.43,v1.0.0
FLR-000034,AST-00117,2023-08-28,Electrical,118.67,v1.0.0
FLR-000035,AST-00311,2010-12-22,Mechanical,104.12,v1.0.0
FLR-000036,AST-00472,2025-07-05,Mechanical,292.03,v1.0.0
FLR-000037,AST-00357,2024-03-20,Mechanical,66.33,v1.0.0
FLR-000038,AST-00257,2024-05-27,Mechanical,121.58,v1.0.0
FLR-000039,AST-00127,2013-07-27,Software,279.56,v1.0.0
FLR-000040,AST-00259,2023-03-08,Software,135.72,v1.0.0
FLR-000041,AST-00430,2022-11-29,Wear & Tear,108.61,v1.0.0
FLR-000042,AST-00127,2014-12-01,Mechanical,292.24,v1.0.0
FLR-000043,AST-00413,2017-04-28,Wear & Tear,112.04,v1.0.0
FLR-000044,AST-00205,2012-11-15,,21.1,v1.0.0
FLR-000045,AST-00155,2025-12-21,Mechanical,98.98,v1.0.0
FLR-000046,AST-00299,2026-02-17,Mechanical,49.3,v1.0.0
FLR-000047,AST-00230,2023-09-14,Electrical,24.86,v1.0.0
FLR-000048,AST-00052,2014-11-15,External,46.64,v1.0.0
FLR-000049,AST-00280,,Software,214.85,v1.0.0
FLR-000050,AST-00041,2025-01-21,Wear & Tear,131.52,v1.0.0
FLR-000051,AST-00391,2025-06-13,Mechanical,129.58,v1.0.0
FLR-000052,AST-00092,2009-09-19,Wear & Tear,97.75,v1.0.0
FLR-000053,AST-00147,2024-12-21,Electrical,67.53,v1.0.0
FLR-000054,AST-00223,2013-10-06,Software,29.9,v1.0.0
FLR-000055,AST-00058,2024-06-17,Wear & Tear,241.69,v1.0.0
FLR-000056,AST-00417,2025-06-19,Electrical,100.4,v1.0.0
FLR-000057,AST-00492,2017-02-19,Mechanical,13.53,v1.0.0
FLR-000058,AST-00070,2023-04-16,Software,155.27,v1.0.0
FLR-000059,AST-00019,2021-05-25,Electrical,225.79,v1.0.0
FLR-000060,AST-00144,2023-11-13,Software,85.45,v1.0.0
FLR-000061,AST-00038,2024-11-09,Mechanical,145.76,v1.0.0
FLR-000062,AST-00168,2022-07-12,Software,43.98,v1.0.0
FLR-000063,AST-00363,2025-09-12,Mechanical,182.08,v1.0.0
FLR-000064,AST-00489,2022-05-22,Mechanical,142.13,v1.0.0
FLR-000065,AST-00473,2022-06-26,Software,9.09,v1.0.0
FLR-000066,AST-00180,2024-05-23,Electrical,16.19,v1.0.0
FLR-000067,AST-00046,2024-06-14,Software,48.48,v1.0.0
FLR-000068,AST-00383,2024-05-27,Mechanical,8.8,v1.0.0
FLR-000069,AST-00293,2026-05-29,Wear & Tear,10.28,v1.0.0
FLR-000070,AST-00093,2024-05-21,Software,16.37,v1.0.0
FLR-000071,AST-00023,2016-09-20,Mechanical,280.52,v1.0.0
FLR-000072,AST-00466,2023-10-23,Mechanical,104.91,v1.0.0
FLR-000073,AST-00196,,Mechanical,95.31,v1.0.0
FLR-000074,AST-00459,2022-04-03,Wear & Tear,,v1.0.0
FLR-000075,AST-00191,2017-11-13,Mechanical,189.84,v1.0.0
FLR-000076,AST-00143,2024-10-06,Mechanical,70.51,v1.0.0
FLR-000077,AST-00485,2020-05-22,Electrical,131.74,v1.0.0
FLR-000078,AST-00429,2019-02-08,Mechanical,58.18,v1.0.0
FLR-000079,AST-00490,2022-11-11,Electrical,96.06,v1.0.0
FLR-000080,AST-00158,2021-12-27,Mechanical,105.85,v1.0.0
FLR-000081,AST-00230,2026-03-03,Mechanical,93.64,v1.0.0
FLR-000082,AST-00059,2026-03-25,Wear & Tear,98.31,v1.0.0
FLR-000083,AST-00427,2013-11-02,Wear & Tear,174.57,v1.0.0
FLR-000084,AST-00448,2025-11-15,Mechanical,130.27,v1.0.0
FLR-000085,AST-00328,2023-06-22,Wear & Tear,44.95,v1.0.0
FLR-000086,AST-00098,2020-10-28,Mechanical,160.77,v1.0.0
FLR-000087,AST-00044,2024-06-09,Electrical,86.82,v1.0.0
FLR-000088,AST-00388,2022-04-12,Electrical,5.75,v1.0.0
FLR-000089,AST-00075,2023-06-21,External,155.83,v1.0.0
FLR-000090,AST-00215,2025-11-07,Wear & Tear,50.9,v1.0.0
FLR-000091,AST-00296,2014-07-23,Mechanical,270.26,v1.0.0
FLR-000092,AST-00260,2023-07-01,,111.34,v1.0.0
FLR-000093,AST-00247,2025-11-10,Mechanical,250.84,v1.0.0
FLR-000094,AST-00392,2019-06-16,Electrical,233.03,v1.0.0
FLR-000095,AST-00258,2019-10-02,Wear & Tear,162.04,v1.0.0
FLR-000096,AST-00484,,Software,301.06,v1.0.0
FLR-000097,AST-00205,2012-03-22,Electrical,126.99,v1.0.0
FLR-000098,AST-00080,2024-10-17,Software,116.75,v1.0.0
FLR-000099,AST-00351,2025-02-01,Electrical,122.21,v1.0.0
FLR-000100,AST-00228,2021-10-25,Electrical,27.45,v1.0.0
FLR-000101,AST-00076,2022-11-19,Wear & Tear,83.19,v1.0.0
FLR-000102,AST-00083,2024-07-25,Software,73.69,v1.0.0
FLR-000103,AST-00205,2014-06-20,Electrical,243.08,v1.0.0
FLR-000104,AST-00428,,Software,8.2,v1.0.0
FLR-000105,AST-00184,2025-08-17,Software,174.39,v1.0.0
FLR-000106,AST-00129,2021-11-30,Electrical,262.71,v1.0.0
FLR-000107,AST-00082,2016-11-07,Electrical,144.77,v1.0.0
FLR-000108,AST-00411,2022-10-23,Mechanical,,v1.0.0
FLR-000109,AST-00470,2025-07-25,Mechanical,231.91,v1.0.0
FLR-000110,AST-00089,2022-09-20,External,23.66,v1.0.0
FLR-000111,AST-00174,2026-05-05,Electrical,6.02,v1.0.0
FLR-000112,AST-00003,2024-09-07,Wear & Tear,91.8,v1.0.0
FLR-000113,AST-00017,2022-07-24,Wear & Tear,106.53,v1.0.0
FLR-000114,AST-00074,2023-12-16,Mechanical,93.71,v1.0.0
FLR-000115,AST-00231,2023-10-29,Electrical,45.1,v1.0.0
FLR-000116,AST-00496,2026-05-14,Electrical,37.37,v1.0.0
FLR-000117,AST-00235,2020-09-28,Mechanical,238.94,v1.0.0
FLR-000118,AST-00472,2017-02-18,Electrical,273.37,v1.0.0
