availability_id,technician_id,date,shift,availability,dataset_version
AVL-000001,TEC-001,2024-06-05,Full Day,Leave,v1.0.0
AVL-000002,TEC-001,2024-06-06,Full Day,Available,v1.0.0
AVL-000003,TEC-001,2024-06-07,Full Day,Available,v1.0.0
AVL-000004,TEC-001,2024-06-08,Full Day,Available,v1.0.0
AVL-000005,TEC-001,2024-06-09,Full Day,Leave,v1.0.0
AVL-000006,TEC-001,2024-06-10,Full Day,Available,v1.0.0
AVL-000007,TEC-001,2024-06-11,,Available,v1.0.0
AVL-000008,TEC-001,2024-06-12,Full Day,Busy,v1.0.0
AVL-000009,TEC-001,2024-06-13,Full Day,Available,v1.0.0
AVL-000010,TEC-001,2024-06-14,Full Day,Leave,v1.0.0
AVL-000011,TEC-001,2024-06-15,Full Day,Available,v1.0.0
AVL-000012,TEC-001,2024-06-16,Full Day,Available,v1.0.0
AVL-000013,TEC-001,2024-06-17,Full Day,Available,v1.0.0
AVL-000014,TEC-001,2024-06-18,Full Day,Leave,v1.0.0
AVL-000015,TEC-001,2024-06-19,Full Day,Available,v1.0.0
AVL-000016,TEC-001,2024-06-20,Full Day,Available,v1.0.0
AVL-000017,TEC-001,2024-06-21,Full Day,Available,v1.0.0
AVL-000018,TEC-001,2024-06-22,Full Day,Available,v1.0.0
AVL-000019,TEC-001,2024-06-23,,Available,v1.0.0
AVL-000020,TEC-001,2024-06-24,Full Day,Available,v1.0.0
AVL-000021,TEC-001,2024-06-25,Full Day,Available,v1.0.0
AVL-000022,TEC-001,2024-06-26,Full Day,Available,v1.0.0
AVL-000023,TEC-001,2024-06-27,Full Day,Available,v1.0.0
AVL-000024,TEC-001,2024-06-28,Full Day,Available,v1.0.0
AVL-000025,TEC-001,2024-06-29,Full Day,Leave,v1.0.0
AVL-000026,TEC-001,2024-06-30,Full Day,Available,v1.0.0
AVL-000027,TEC-001,2024-07-01,Full Day,Busy,v1.0.0
AVL-000028,TEC-001,2024-07-02,Full Day,Busy,v1.0.0
AVL-000029,TEC-001,2024-07-03,Full Day,Available,v1.0.0
AVL-000030,TEC-001,2024-07-04,Full Day,Available,v1.0.0
AVL-000031,TEC-001,2024-07-05,Full Day,Available,v1.0.0
AVL-000032,TEC-001,2024-07-06,Full Day,Available,v1.0.0
AVL-000033,TEC-001,2024-07-07,Full Day,Busy,v1.0.0
AVL-000034,TEC-001,2024-07-08,Full Day,Busy,v1.0.0
AVL-000035,TEC-001,2024-07-09,Full Day,Available,v1.0.0
